"","timestamp","x","y","z","label"
"1",0,-0.1636962890625,1.10432434082031,0.200408935546875,"standToSit1"
"2",0.1,-0.539908447265835,0.993010864257833,0.189152221679673,"standToSit1"
"3",0.2,-0.0836993901416885,0.948709815439533,0.221700032552102,"standToSit1"
"4",0.3,-0.16956146240234,0.906194458007813,0.260164489746095,"standToSit1"
"5",0.4,-0.319836549084635,0.897648666844257,0.215655240145593,"standToSit1"
"6",0.5,-0.170057373047009,0.760802917480477,0.228443145751965,"standToSit1"
"7",0.6,-0.477911746863172,0.780947598544043,0.256628787878799,"standToSit1"
"8",0.7,-0.529401855468734,0.819823608398479,0.320065307617173,"standToSit1"
"9",0.8,-0.590377197265602,0.672492675781252,0.375408935546845,"standToSit1"
"10",0.9,-0.640720868351493,0.666441021543524,0.441740093809205,"standToSit1"
"11",1,-0.666381072998042,0.579708099365233,0.490419769287107,"standToSit1"
"12",1.1,-0.738870485864504,0.577568593651397,0.535231310911851,"standToSit1"
"13",1.2,-0.739902648925784,0.434994506835936,0.544539184570323,"standToSit1"
"14",1.3,-0.746610699277929,0.430642792672817,0.571357033469466,"standToSit1"
"15",1.4,-0.71059860229493,0.398957366943369,0.601711730957033,"standToSit1"
"16",1.5,-0.687546084625536,0.37093037306661,0.598766750759545,"standToSit1"
"17",1.6,-0.720613403320312,0.356361083984374,0.605730590820313,"standToSit1"
"18",1.7,-0.719998600507021,0.349162862758448,0.603654649522569,"standToSit1"
"19",1.8,-0.741180572509773,0.317783966064456,0.611225585937483,"standToSit1"
"20",1.9,-0.724721735174002,0.312329378995024,0.647355513139205,"sit1"
"21",2,-0.714138793945313,0.301142883300782,0.647393798828127,"sit1"
"22",2.1,-0.712064954969618,0.2924980394768,0.635847303602429,"sit1"
"23",2.2,-0.714734191894532,0.292534332275397,0.642773437500005,"sit1"
"24",2.3,-0.715384589301215,0.30737813313802,0.655938042534722,"sit1"
"25",2.4,-0.713690795898439,0.29175170898438,0.65299438476563,"sit1"
"26",2.5,-0.714843287612443,0.281259247750945,0.63948660185843,"sit1"
"27",2.6,-0.731341247558593,0.284374542236328,0.636796264648438,"sit1"
"28",2.7,-0.728440255829783,0.278083878334123,0.636736166597618,"sit1"
"29",2.8,-0.726993713378909,0.278105468749999,0.636456604003902,"sit1"
"30",2.9,-0.721508604107484,0.28118557400174,0.644790187026512,"sit1"
"31",3,-0.726984405517576,0.288626098632806,0.637211608886712,"sit1"
"32",3.1,-0.725784764145358,0.282198819247159,0.629196629379735,"sit1"
"33",3.2,-0.730128173828125,0.28001708984375,0.62788330078125,"sit1"
"34",3.3,-0.73159389303188,0.279513734759713,0.62952831538036,"sit1"
"35",3.4,-0.732644958496093,0.274862518310546,0.634250183105469,"sit1"
"36",3.5,-0.732121785481771,0.277728764697756,0.632685035166113,"sit1"
"37",3.6,-0.730096435546877,0.269928283691402,0.628168334960932,"sit1"
"38",3.7,-0.727554321289062,0.27448203346946,0.634991732510652,"sit1"
"39",3.8,-0.724127349853517,0.278896026611328,0.645093994140624,"sit1"
"40",3.9,-0.727813412444757,0.279132573291511,0.638696073281654,"sit1"
"41",4,-0.730496215820312,0.275497436523438,0.630401611328125,"sit1"
"42",4.1,-0.728200430821889,0.274224329476412,0.634076051037724,"sit1"
"43",4.2,-0.723846435546881,0.286831817626955,0.639889221191407,"sit1"
"44",4.3,-0.720262932054926,0.282233498313208,0.638577085552794,"sit1"
"45",4.4,-0.73004119873047,0.271810607910157,0.635864257812498,"sit1"
"46",4.5,-0.731355455186635,0.27418009440104,0.631227281358505,"sit1"
"47",4.6,-0.726684112548827,0.276839904785156,0.634181976318359,"sit1"
"48",4.7,-0.725554649275965,0.276466754951864,0.635232328164456,"sit1"
"49",4.8,-0.727512817382814,0.278538818359374,0.63388671875,"sit1"
"50",4.9,-0.725205854936079,0.279444839015151,0.633991588245739,"sit1"
"51",5,-0.723457336425781,0.279174804687503,0.635692596435551,"sit1"
"52",5.1,-0.724007038154986,0.280869300919352,0.639342953460387,"sit1"
"53",5.2,-0.728152770996093,0.275757141113281,0.634552612304688,"sit1"
"54",5.3,-0.732839410955257,0.275059709645286,0.635299528488001,"sit1"
"55",5.4,-0.732090454101562,0.271315460205077,0.637293548583986,"sit1"
"56",5.5,-0.735433405095886,0.27222511985085,0.632372769442469,"sit1"
"57",5.6,-0.741870117187498,0.269039306640623,0.629645385742185,"sit1"
"58",5.7,-0.738608928641888,0.267612958195233,0.628323795819524,"sit1"
"59",5.8,-0.733060455322266,0.270246429443359,0.630794677734376,"sit1"
"60",5.9,-0.731109002623894,0.2713623046875,0.63153954708215,"sit1"
"61",6,-0.733180236816406,0.270309448242188,0.6321044921875,"sit1"
"62",6.1,-0.735321507309423,0.268537116773201,0.631727276426372,"sit1"
"63",6.2,-0.736940460205078,0.269865112304688,0.631580963134765,"sit1"
"64",6.3,-0.736217460247001,0.269355850990373,0.63250794073548,"sit1"
"65",6.4,-0.733704833984375,0.268448486328125,0.635356445312501,"sit1"
"66",6.5,-0.734467323380284,0.266746598060685,0.636975529217966,"sit1"
"67",6.6,-0.736519317626953,0.267361755371093,0.630620880126953,"sit1"
"68",6.7,-0.732142130533853,0.268157958984376,0.631505330403646,"sit1"
"69",6.8,-0.728341064453126,0.27010467529297,0.63515930175781,"sit1"
"70",6.9,-0.727078986890388,0.270208647756867,0.640850182735561,"sit1"
"71",7,-0.728292083740237,0.270201110839841,0.640917205810542,"sit1"
"72",7.1,-0.732229059392756,0.267012933287957,0.633508393258758,"sit1"
