"","timestamp","acc.x","acc.y","acc.z","label","gyro.x","gyro.y","gyro.z"
"1",1529416463537,-0.1636962890625,1.10432434082031,0.200408935546875,"standToSit1",0.166149832155104,-0.124300842695282,0.502036513572563
"2",1529416463636,-0.544525146484375,0.993453979492188,0.188827514648438,"standToSit1",-0.392155364752049,0.439154244687323,-0.167607464462555
"3",1529416463736,-0.082855224609375,0.949142456054688,0.221298217773438,"standToSit1",-0.19682503739195,-0.116046374896582,-0.00744152428839745
"4",1529416463835,-0.166427612304688,0.90631103515625,0.261077880859375,"standToSit1",-0.28163052446104,-0.291389819586224,-0.648159031923845
"5",1529416463935,-0.3231201171875,0.900482177734375,0.215408325195312,"standToSit1",-0.514167630834616,0.076163662489837,-0.667208971042631
"6",1529416464034,-0.16058349609375,0.760223388671875,0.227630615234375,"standToSit1",-0.510143425941805,-0.0571549616052776,-0.778612116426123
"7",1529416464134,-0.47637939453125,0.779541015625,0.254714965820312,"standToSit1",-0.443916805557336,0.0973306244494429,-1.02111531238353
"8",1529416464233,-0.526947021484375,0.825958251953125,0.31787109375,"standToSit1",-0.573526197908767,-0.111981200803164,-0.893534042207715
"9",1529416464333,-0.58831787109375,0.672592163085938,0.372726440429688,"standToSit1",-0.544714865746062,-0.146304792705319,-0.784034826015165
"10",1529416464433,-0.639801025390625,0.67010498046875,0.439788818359375,"standToSit1",-0.377016427157167,0.03908105743845,-0.685644991744903
"11",1529416464532,-0.662567138671875,0.579421997070312,0.488082885742188,"standToSit1",-0.357628372562883,0.0150894000810947,-0.509749593331786
"12",1529416464632,-0.738845825195312,0.58514404296875,0.534820556640625,"standToSit1",-0.364943845088869,-0.109410282917209,-0.382554454338919
"13",1529416464731,-0.739334106445312,0.435150146484375,0.542953491210938,"standToSit1",-0.269656261952169,-0.157662060574867,-0.33964233640696
"14",1529416464831,-0.748809814453125,0.43255615234375,0.569381713867188,"standToSit1",-0.204472481100349,-0.184743957665766,-0.277721498567863
"15",1529416464930,-0.7125244140625,0.400985717773438,0.601974487304688,"standToSit1",-0.17953452379986,-0.226431032366334,-0.210642759029953
"16",1529416465030,-0.685012817382812,0.37200927734375,0.598220825195312,"standToSit1",-0.160583820041816,-0.177402214957884,-0.166932796080564
"17",1529416465129,-0.720840454101562,0.35675048828125,0.605941772460938,"standToSit1",-0.206181888113754,-0.0803705167532464,-0.0781803765529461
"18",1529416465229,-0.718002319335938,0.351882934570312,0.603302001953125,"standToSit1",-0.190789512695992,-0.0841746956248135,-0.0440472713240261
"19",1529416465328,-0.742706298828125,0.318222045898438,0.607666015625,"standToSit1",-0.116468518539495,-0.0823448240522635,-0.0711091430740339
"20",1529416465428,-0.725753784179688,0.3133544921875,0.647216796875,"standToSit1",-0.0630578853365516,-0.0128712396216111,-0.0856349747882868
"21",1529416465527,-0.714401245117188,0.302078247070312,0.64874267578125,"sit1",-0.0673961992098926,0.0236868775931749,-0.0396220922014562
