"","timestamp","acc.x","acc.y","acc.z","label","gyro.x","gyro.y","gyro.z"
"1",1534858261383,0.469619750976562,0.782211303710938,0.341262817382812,"stairDown",-2.09294073925186,-0.76482153729115,0.288677574806748
"2",1534858261483,0.392120361328125,0.605804443359375,0.372467041015625,"stairDown",-0.0442813197036633,-0.431663210060252,-0.270457699519559
"3",1534858261582,0.346572875976562,0.581329345703125,0.383468627929688,"stairDown",1.28136222944779,0.0509106423623465,-0.585378577317585
"4",1534858261682,0.478851318359375,0.717071533203125,0.437606811523438,"stairDown",1.5851218942302,0.225942970051419,0.102253518487124
"5",1534858261781,0.291580200195312,0.9022216796875,0.34600830078125,"stairDown",0.554370547599774,0.273805390840196,0.0102107715852464
"6",1534858261881,0.288650512695312,0.683761596679688,0.0738525390625,"stairDown",0.0358393218840397,0.484508467751327,-0.0699034729808177
"7",1534858261980,0.499435424804688,1.407958984375,0.10284423828125,"stairDown",0.197307569571337,-0.0691814900092973,0.315376656078504
"8",1534858262080,0.36517333984375,0.939849853515625,-0.065704345703125,"stairDown",0.627268296837018,0.308538451912485,-0.117488764683059
"9",1534858262179,0.262649536132812,0.629913330078125,0.233184814453125,"stairDown",0.250635275198949,0.565960276822351,0.223969912807607
"10",1534858262279,-0.0037841796875,0.513656616210938,0.178787231445312,"stairDown",-0.836832141371597,0.978780616691106,0.323578942224907
"11",1534858262378,0.1683349609375,0.655548095703125,0.39300537109375,"stairDown",-2.05040240684894,0.177829606115149,0.236184074497979
"12",1534858262478,0.908584594726562,1.59367370605469,0.483261108398438,"stairDown",-2.72722529431386,-0.376538278323534,-0.345118075511828
"13",1534858262577,0.457275390625,0.92034912109375,0.335769653320312,"stairDown",-1.31806772545381,-0.450123726409531,-0.232970723349268
"14",1534858262677,0.414352416992188,0.059844970703125,0.166900634765625,"stairDown",0.606159144495646,-0.823284597426184,-0.532788094464957
"15",1534858262776,0.40814208984375,0.421524047851562,0.229629516601562,"stairDown",2.51420555802807,-0.10057002022661,-0.494458023996307
"16",1534858262876,0.349945068359375,0.720367431640625,0.521255493164062,"stairDown",0.41869110457111,-0.174470490376939,-0.627908895779635
"17",1534858262976,0.712127685546875,0.94073486328125,-0.269454956054688,"stairDown",-0.601767920676975,0.959367661540626,0.244825812116869
"18",1534858263075,0.221755981445312,0.776565551757812,-0.036834716796875,"stairDown",-0.334878620594638,0.533552204296904,0.233996996932932
"19",1534858263175,0.275466918945312,0.692840576171875,0.166534423828125,"stairDown",1.19306052004205,0.35454424451229,-0.195364279946485
"20",1534858263274,0.110855102539062,0.911972045898438,0.229827880859375,"stairDown",0.639306736093137,0.472232104944435,0.290830409011695
"21",1534858263374,0.0503997802734375,0.54974365234375,0.266159057617188,"stairDown",-0.276994586030814,0.288937855323122,0.229125007317229
"22",1534858263473,0.277786254882812,0.678558349609375,0.349349975585938,"stairDown",-1.50069376350002,0.315145471955794,0.430497087909223
"23",1534858263573,0.471939086914062,1.56846618652344,0.163665771484375,"stairDown",-2.21326830865142,-0.0411056305442867,0.046145570511877
"24",1534858263672,0.706893920898438,0.894088745117188,0.492507934570312,"stairDown",-1.0940142681958,-0.737857827484914,-0.95330982064174
"25",1534858263772,0.345657348632812,0.330093383789062,0.115859985351562,"stairDown",0.982338330873829,-0.773651117444765,-0.569634205376522
"26",1534858263872,0.2537841796875,0.378204345703125,0.141525268554688,"stairDown",1.2351001374857,-0.635387598340352,-0.34962632623783
"27",1534858263971,0.709259033203125,0.275100708007812,0.672393798828125,"stairDown",0.136111250141819,1.08808613411204,0.13821233749628
"28",1534858264071,0.0888519287109375,2.52069091796875,0.5364990234375,"stairDown",0.0455522834412788,0.63737596332541,0.383904769406974
"29",1534858264170,0.275238037109375,1.34352111816406,0.0048980712890625,"stairDown",0.365457992794911,-0.579582911040459,0.0308595910971759
"30",1534858264270,0.334548950195312,0.716018676757812,0.37432861328125,"stairDown",0.716069022845797,0.705086013352255,0.166853167563972
"31",1534858264369,-0.016021728515625,0.4976806640625,0.338775634765625,"stairDown",-0.125746477190271,0.959872966464846,0.411730672181101
"32",1534858264469,0.0693206787109375,0.702621459960938,0.251876831054688,"stairDown",-1.55612114609372,0.055878717743174,0.399030046072468
"33",1534858264568,0.74395751953125,1.74703979492188,0.477249145507812,"stairDown",-1.7972478845242,-0.735684818475952,-0.279329903838171
"34",1534858264668,0.550384521484375,0.846511840820312,0.2750244140625,"stairDown",-0.57840407093647,-0.650565162641085,-0.655584047330995
"35",1534858264767,0.408172607421875,0.175079345703125,0.08935546875,"stairDown",1.16670367127543,-0.537626938595133,-0.395734780980147
"36",1534858264867,0.192840576171875,0.455917358398438,0.237503051757812,"stairDown",1.28236455088672,-0.440579978846942,-0.286480282116663
"37",1534858264966,0.508331298828125,0.361465454101562,0.724563598632812,"stairDown",0.0675414447547319,1.37032233477777,0.0996923401617268
"38",1534858265066,0.454940795898438,1.89991760253906,0.545333862304688,"stairDown",-0.490086276581241,1.31211707678879,0.135567280466591
"39",1534858265165,0.40216064453125,1.20210266113281,-0.0163726806640625,"stairDown",0.556921442862352,0.382447226777396,-0.184864044490838
"40",1534858265265,0.201934814453125,0.738189697265625,0.222915649414062,"stairDown",0.961149577190978,0.426384851954828,-0.00895498243082138
"41",1534858265365,0.102020263671875,0.552322387695312,0.36358642578125,"stairDown",0.0924632355803989,0.609006634378317,0.413162594113988
"42",1534858265464,0.157669067382812,0.689453125,0.321640014648438,"stairDown",-1.06980017001423,0.37805329634547,0.539970393667947
